Start	End	Feature	Attribute	Value
			regulatory_class	polyA_signal_sequence
29666	29304	CDS		
			product	protein ORF11
			protein_id	ref|YP_001096050.1|
30181	29795	CDS		
			product	protein ORF12
			prot_desc	contains a signal peptide; possibly involved in immune regulation
			protein_id	ref|YP_001096051.1|
			note	TNFR family
31065	30236	gene		
			locus_tag	CyHV3_ORF15
			db_xref	GeneID:11266349
30790	30236	gene		
			locus_tag	CyHV3_ORF14
			db_xref	GeneID:11266348
30503	30236	gene		
			locus_tag	CyHV3_ORF13
			db_xref	GeneID:11266347
30241	30236	regulatory		
			gene	-
			note	ORF13, ORF14, ORF15
			regulatory_class	polyA_signal_sequence
30503	30270	CDS		
			product	protein ORF13
			protein_id	ref|YP_001096052.1|
30790	30506	CDS		
			product	protein ORF14
			prot_desc	contains a potential transmembrane domain
			protein_id	ref|YP_001096053.1|
31065	30877	CDS		
			product	protein ORF15
			prot_desc	contains a potential transmembrane domain
			protein_id	ref|YP_001096054.1|
32417	31289	gene		
			locus_tag	CyHV3_ORF16
			db_xref	GeneID:11266350
31294	31289	regulatory		
			regulatory_class	polyA_signal_sequence
32417	31341	CDS		
			product	membrane protein ORF16
			prot_desc	type 3 membrane protein; contains a signal peptide; 7 transmembrane domains; similar to GPCRs; possibly involved in intracellular signalling
			protein_id	ref|YP_001096055.1|
34596	32442	gene		
			locus_tag	CyHV3_ORF17
			db_xref	GeneID:11266351
32447	32442	regulatory		
			regulatory_class	polyA_signal_sequence
34596	32572	CDS		
			product	protein ORF17
			protein_id	ref|YP_001096056.1|
37049	34756	gene		
			locus_tag	CyHV3_ORF18
			db_xref	GeneID:11266352
34761	34756	regulatory		
			regulatory_class	polyA_signal_sequence
37049	34812	CDS		
			product	protein ORF18
			protein_id	ref|YP_001096057.1|
37148	37976	gene		
			locus_tag	CyHV3_ORF19
			db_xref	GeneID:11266353
37148	37873	CDS		
			product	deoxyguanosine kinase
			prot_desc	involved in nucleotide metabolism
			protein_id	ref|YP_001096058.1|
37971	37976	regulatory		
			regulatory_class	polyA_signal_sequence
39091	38010	gene		
			locus_tag	CyHV3_ORF20
			db_xref	GeneID:11266354
38015	38010	regulatory		
			regulatory_class	polyA_signal_sequence
39091	38042	CDS		
			product	protein ORF20
			protein_id	ref|YP_001096059.1|
39209	42143	gene		
			locus_tag	CyHV3_ORF21
			db_xref	GeneID:11266355
39209	40219	CDS		
			product	protein ORF21
			protein_id	ref|YP_001096060.1|
40216	42143	gene		
			locus_tag	CyHV3_ORF22
			db_xref	GeneID:11266356
40216	41982	CDS		
			product	protein ORF22
			protein_id	ref|YP_001096061.1|
			note	ORF22 family
42138	42143	regulatory		
			gene	-
			note	ORF21, ORF22
			regulatory_class	polyA_signal_sequence
42201	43221	gene		
			locus_tag	CyHV3_ORF23
			db_xref	GeneID:11266357
42201	43208	CDS		
			product	ribonucleotide reductase subunit 2
			prot_desc	involved in nucleotide metabolism
			protein_id	ref|YP_001096062.1|
43216	43221	regulatory		
			regulatory_class	polyA_signal_sequence
43672	45468	gene		
			locus_tag	CyHV3_ORF24
			db_xref	GeneID:11266358
43672	45411	CDS		
			product	protein ORF24
			protein_id	ref|YP_001096063.1|
			note	ORF22 family
45463	45468	regulatory		
			regulatory_class	polyA_signal_sequence
45570	48457	gene		
			locus_tag	CyHV3_ORF25
			db_xref	GeneID:11266359
45570	47375	CDS		
			product	membrane protein ORF25
			prot_desc	type 1 membrane protein; contains an Ig domain
			protein_id	ref|YP_001096064.1|
			note	ORF25 family
47474	48457	gene		
			locus_tag	CyHV3_ORF26
			db_xref	GeneID:11945558
47474	47644	CDS		
			product	truncated membrane protein ORF26
			prot_desc	type 1 membrane protein
			protein_id	ref|YP_005352783.1|
			note	ORF25 family; frameshifted
48452	48457	regulatory		
			gene	-
			note	ORF25, ORF26
			regulatory_class	polyA_signal_sequence
48534	49938	gene		
			locus_tag	CyHV3_ORF27
			db_xref	GeneID:11945559
48534	48740	CDS		
			product	truncated membrane protein ORF27
			prot_desc	type 1 membrane protein; contains an Ig domain
			protein_id	ref|YP_005352784.1|
			note	ORF25 family; frameshifted
49933	49938	regulatory		
			note	ORF27
			regulatory_class	polyA_signal_sequence
51109	49968	gene		
			locus_tag	CyHV3_ORF28
			db_xref	GeneID:11266360
49973	49968	regulatory		
			regulatory_class	polyA_signal_sequence
51109	49991	CDS		
			product	protein ORF28
			prot_desc	contains an NAD(P)-binding Rossmann-fold domain; similar to bacterial NAD-dependent epimerase/dehydratase
			protein_id	ref|YP_001096065.1|
51637	52802	gene		
			locus_tag	CyHV3_ORF29
			db_xref	GeneID:11266361
51637	52740	CDS		
			product	membrane protein ORF29
			prot_desc	type 3 membrane protein; 8 transmembrane domains
			protein_id	ref|YP_001096066.1|
52797	52802	regulatory		
			regulatory_class	polyA_signal_sequence
52909	55353	gene		
			locus_tag	CyHV3_ORF30
			db_xref	GeneID:11945560
52909	53709	CDS		
			product	truncated membrane protein ORF30
			prot_desc	type 1 membrane protein
			protein_id	ref|YP_005352785.1|
			note	frameshifted by a 23 bp deletion
84245	53750	gene		
			locus_tag	CyHV3_ORF33
			db_xref	GeneID:11266364
54336	53750	gene		
			locus_tag	CyHV3_ORF31
			db_xref	GeneID:11266362
53755	53750	regulatory		
			gene	-
			note	ORF31, ORF33
			regulatory_class	polyA_signal_sequence
54336	53968	CDS		
			product	protein ORF31
			prot_desc	similar to eukaryotic PLAC8 proteins
			protein_id	ref|YP_001096067.1|
54492	55353	gene		
			locus_tag	CyHV3_ORF32
			db_xref	GeneID:11266363
54492	55073	CDS		
			product	protein ORF32
			prot_desc	contains a signal peptide; similar to a family of Singapore grouper iridovirus proteins
			protein_id	ref|YP_001096068.1|
84221	83445	CDS		
83365	83162			
56513	55128			
			product	DNA packaging terminase subunit 1
			prot_desc	contains an ATPase domain; involved in DNA encapsidation
			protein_id	ref|YP_001096069.2|
55348	55353	regulatory		
			gene	-
			note	ORF30, ORF32
			regulatory_class	polyA_signal_sequence
56545	58752	gene		
			locus_tag	CyHV3_ORF34
			db_xref	GeneID:11266365
56545	57000	CDS		
			product	protein ORF34
			prot_desc	contains a signal peptide
			protein_id	ref|YP_001096070.1|
57082	58752	gene		
			locus_tag	CyHV3_ORF35
			db_xref	GeneID:11266366
57082	58050	CDS		
			product	protein ORF35
			protein_id	ref|YP_001096071.1|
58097	58752	gene		
			locus_tag	CyHV3_ORF36
			db_xref	GeneID:11266367
58097	58576	CDS		
			product	protein ORF36
			protein_id	ref|YP_001096072.1|
58977	58637	gene		
			locus_tag	CyHV3_ORF37
			db_xref	GeneID:11266368
58642	58637	regulatory		
			regulatory_class	polyA_signal_sequence
58977	58645	CDS		
			product	protein ORF37
			prot_desc	contains a potential transmembrane domain
			protein_id	ref|YP_001096073.1|
58747	58752	regulatory		
			gene	-
			note	ORF34, ORF35, ORF36
			regulatory_class	polyA_signal_sequence
59793	59035	gene		
			locus_tag	CyHV3_ORF39
			db_xref	GeneID:11266370
59486	59035	gene		
			locus_tag	CyHV3_ORF38
			db_xref	GeneID:11266369
59040	59035	regulatory		
			gene	-
			note	ORF38, ORF39
			regulatory_class	polyA_signal_sequence
59486	59055	CDS		
			product	protein ORF38
			prot_desc	contains a potential transmembrane domain
			protein_id	ref|YP_001096074.1|
59793	59488	CDS		
			product	membrane protein ORF39
			prot_desc	type 3 membrane protein; 2 transmembrane domains; contains a signal peptide
			protein_id	ref|YP_001096075.1|
62153	59887	gene		
			locus_tag	CyHV3_ORF41
			db_xref	GeneID:11266371
60598	59887	gene		
			locus_tag	CyHV3_ORF40
			db_xref	GeneID:11945561
59892	59887	regulatory		
			gene	-
			note	ORF40, ORF41
			regulatory_class	polyA_signal_sequence
60598	60044	CDS		
			product	truncated membrane protein ORF40
			prot_desc	type 1 membrane protein; contains an Ig domain
			protein_id	ref|YP_005352786.1|
			note	frameshifted
62153	60627	CDS		
			product	protein ORF41
			protein_id	ref|YP_001096076.1|
			note	RING family
69325	62971	gene		
			locus_tag	CyHV3_ORF42
			db_xref	GeneID:11266372
62976	62971	regulatory		
			regulatory_class	polyA_signal_sequence
69325	62972	CDS		
			product	protein ORF42
			protein_id	ref|YP_001096077.1|
69324	73756	gene		
			locus_tag	CyHV3_ORF43
			db_xref	GeneID:11266373
69324	73685	CDS		
			product	protein ORF43
			protein_id	ref|YP_001096078.1|
73751	73756	regulatory		
			regulatory_class	polyA_signal_sequence
74077	83399	gene		
			locus_tag	CyHV3_ORF44
			db_xref	GeneID:11266374
74077	74901	CDS		
			product	protein ORF44
			protein_id	ref|YP_001096079.1|
74760	83399	gene		
			locus_tag	CyHV3_ORF45
			db_xref	GeneID:11266375
74760	76658	CDS		
			product	protein ORF45
			protein_id	ref|YP_001096080.1|
76615	83399	gene		
			locus_tag	CyHV3_ORF46
			db_xref	GeneID:11266376
76615	79059	CDS		
			product	helicase-primase primase subunit
			prot_desc	putative; involved in DNA replication
			protein_id	ref|YP_001096081.1|
78960	83399	gene		
			locus_tag	CyHV3_ORF47
			db_xref	GeneID:11266377
78960	80966	CDS		
			product	protein Allo64
			prot_desc	weakly similar to herpesvirus DNA packaging terminase subunit 2; possibly involved in DNA replication
			protein_id	ref|YP_001096082.1|
80575	83399	gene		
			locus_tag	CyHV3_ORF48
			db_xref	GeneID:11266378
80575	83208	CDS		
			product	protein ORF48
			prot_desc	similar to protein kinases; possibly involved in protein phosphorylation
			protein_id	ref|YP_001096083.1|
83394	83399	regulatory		
			gene	-
			note	ORF44, ORF45, ORF46, ORF47, ORF48
			regulatory_class	polyA_signal_sequence
84262	91649	gene		
			locus_tag	CyHV3_ORF49
			db_xref	GeneID:11266379
84262	84966	CDS		
			product	protein ORF49
			protein_id	ref|YP_001096084.1|
90448	84665	gene		
			locus_tag	CyHV3_ORF51
			db_xref	GeneID:11266381
85680	84665	gene		
			locus_tag	CyHV3_ORF50
			db_xref	GeneID:11266380
84670	84665	regulatory		
			gene	-
			note	ORF50, ORF51
			regulatory_class	polyA_signal_sequence
85680	85024	CDS		
			product	protein ORF50
			protein_id	ref|YP_001096085.1|
90448	85871	CDS		
			product	protein ORF51
			protein_id	ref|YP_001096086.1|
90633	91649	gene		
			locus_tag	CyHV3_ORF52
			db_xref	GeneID:11266382
90633	91607	CDS		
			product	protein ORF52
			prot_desc	contains a signal peptide
			protein_id	ref|YP_001096087.1|
91644	91649	regulatory		
			gene	-
			note	ORF49, ORF52
			regulatory_class	polyA_signal_sequence
93542	91802	gene		
			locus_tag	CyHV3_ORF53
			db_xref	GeneID:11266383
91807	91802	regulatory		
			regulatory_class	polyA_signal_sequence
93542	91824	CDS		
			product	protein ORF53
			protein_id	ref|YP_001096088.1|
95711	93596	gene		
			locus_tag	CyHV3_ORF54
			db_xref	GeneID:11266384
93601	93596	regulatory		
			regulatory_class	polyA_signal_sequence
95711	93681	CDS		
			product	protein ORF54
			prot_desc	contains a putative zinc-binding domain
			protein_id	ref|YP_001096089.1|
95866	96538	gene		
			locus_tag	CyHV3_ORF55
			db_xref	GeneID:11266385
95866	96516	CDS		
			product	thymidine kinase
			prot_desc	involved in nucleotide metabolism
			protein_id	ref|YP_001096090.1|
96533	96538	regulatory		
			regulatory_class	polyA_signal_sequence
99398	96675	gene		
			locus_tag	CyHV3_ORF56
			db_xref	GeneID:11266386
96680	96675	regulatory		
			regulatory_class	polyA_signal_sequence
99275	96705	CDS		
			product	protein ORF56
			protein_id	ref|YP_001096091.2|
99382	100830	gene		
			locus_tag	CyHV3_ORF57
			db_xref	GeneID:11266387
99382	100803	CDS		
			product	protein ORF57
			prot_desc	similar to crocodilepox virus protein CRV155
			protein_id	ref|YP_001096092.1|
100825	100830	regulatory		
			regulatory_class	polyA_signal_sequence
106538	100864	gene		
			locus_tag	CyHV3_ORF61
			db_xref	GeneID:11266391
104130	100864	gene		
			locus_tag	CyHV3_ORF60
			db_xref	GeneID:11266390
102446	100864	gene		
			locus_tag	CyHV3_ORF59
			db_xref	GeneID:11266389
100869	100864	regulatory		
			gene	-
			note	ORF59, ORF60, ORF61
			regulatory_class	polyA_signal_sequence
102446	102036	CDS		
			product	protein ORF59
			prot_desc	contains a potential transmembrane domain
			protein_id	ref|YP_001096094.1|
104130	102511	CDS		
			product	protein ORF60
			protein_id	ref|YP_001096095.1|
106538	103974	CDS		
			product	protein Allo54
			protein_id	ref|YP_001096096.1|
106572	118648	gene		
			locus_tag	CyHV3_ORF62
			db_xref	GeneID:11266392
106572	118532	CDS		
			product	protein ORF62
			prot_desc	contains an OTU-like cysteine protease domain
			protein_id	ref|YP_001096097.1|
118643	118648	regulatory		
			regulatory_class	polyA_signal_sequence
118663	119799	gene		
			locus_tag	CyHV3_ORF63
			db_xref	GeneID:11266393
118663	119751	CDS		
			product	protein ORF63
			protein_id	ref|YP_001096098.1|
119794	119799	regulatory		
			regulatory_class	polyA_signal_sequence
119864	122067	gene		
			locus_tag	CyHV3_ORF64
			db_xref	GeneID:11266394
119864	122032	CDS		
			product	membrane protein ORF64
			prot_desc	type 3 membrane protein; 12 transmembrane domains; contains a signal peptide; similar to equilibrative nucleoside transporter ENT1
			protein_id	ref|YP_001096099.1|
122062	122067	regulatory		
			regulatory_class	polyA_signal_sequence
123910	122092	gene		
			locus_tag	CyHV3_ORF65
			db_xref	GeneID:11266395
122097	122092	regulatory		
			regulatory_class	polyA_signal_sequence
123910	122120	CDS		
			product	membrane protein ORF65
			prot_desc	type 1 membrane protein; contains an Ig domain
			protein_id	ref|YP_001096100.1|
			note	ORF25 family
134445	124029	gene		
			locus_tag	CyHV3_ORF69
			db_xref	GeneID:11266399
132925	124029	gene		
			locus_tag	CyHV3_ORF68
			db_xref	GeneID:11266398
126144	124029	gene		
			locus_tag	CyHV3_ORF67
			db_xref	GeneID:11266397
125309	124029	gene		
			locus_tag	CyHV3_ORF66
			db_xref	GeneID:11266396
124034	124029	regulatory		
			gene	-
			note	ORF66, ORF67, ORF68, ORF69
			regulatory_class	polyA_signal_sequence
125309	124119	CDS		
			product	capsid triplex subunit 1
			prot_desc	putative; involved in capsid morphogenesis
			protein_id	ref|YP_001096101.1|
126144	125251	CDS		
			product	protein ORF67
			protein_id	ref|YP_001096102.1|
132925	126122	CDS		
			product	protein ORF68
			prot_desc	similar to myosin and related proteins
			protein_id	ref|YP_001096103.1|
134445	132865	CDS		
			product	protein ORF69
			protein_id	ref|YP_001096104.1|
134494	139090	gene		
			locus_tag	CyHV3_ORF70
			db_xref	GeneID:11266400
134494	135840	CDS		
			product	protein ORF70
			protein_id	ref|YP_001096105.1|
135907	139090	gene		
			locus_tag	CyHV3_ORF71
			db_xref	GeneID:11266401
135907	137829	CDS		
			product	helicase-primase helicase subunit
			prot_desc	putative; involved in DNA replication
			protein_id	ref|YP_001096106.1|
137928	139090	gene		
			locus_tag	CyHV3_ORF72
			db_xref	GeneID:11266402
137928	139040	CDS		
			product	capsid triplex subunit 2
			prot_desc	putative; involved in capsid morphogenesis
			protein_id	ref|YP_001096107.1|
139085	139090	regulatory		
			gene	-
			note	ORF70, ORF71, ORF72
			regulatory_class	polyA_signal_sequence
141562	139115	gene		
			locus_tag	CyHV3_ORF76
			db_xref	GeneID:11266406
140063	139115	gene		
			locus_tag	CyHV3_ORF74
			db_xref	GeneID:11266404
139551	139115	gene		
			locus_tag	CyHV3_ORF73
			db_xref	GeneID:11266403
139120	139115	regulatory		
			note	ORF73, ORF74, ORF76
			regulatory_class	polyA_signal_sequence
139551	139141	CDS		
			product	protein ORF73
			protein_id	ref|YP_001096108.1|
140063	139497	CDS		
			product	protein ORF74
			protein_id	ref|YP_001096109.1|
140044	144667	gene		
			locus_tag	CyHV3_ORF75
			db_xref	GeneID:11266405
140044	140781	CDS		
			product	protein ORF75
			protein_id	ref|YP_001096110.1|
141562	140693	CDS		
			product	protein ORF76
			protein_id	ref|YP_001096111.1|
141635	144667	gene		
			locus_tag	CyHV3_ORF77
			db_xref	GeneID:11266407
141635	142402	CDS		
			product	protein ORF77
			protein_id	ref|YP_001096112.1|
142353	144667	gene		
			locus_tag	CyHV3_ORF78
			db_xref	GeneID:11266408
142353	144593	CDS		
			product	capsid maturation protease
			prot_desc	putative; involved in capsid morphogenesis
			protein_id	ref|YP_001096113.1|
144662	144667	regulatory		
			gene	-
			note	ORF75, ORF77, ORF78
			regulatory_class	polyA_signal_sequence
144730	151755	gene		
			locus_tag	CyHV3_ORF79
			db_xref	GeneID:11266409
144730	149859	CDS		
			product	DNA polymerase catalytic subunit
			prot_desc	involved in DNA replication
			protein_id	ref|YP_001096114.1|
153480	149379	gene		
			locus_tag	CyHV3_ORF83
			db_xref	GeneID:11266413
152807	149379	gene		
			locus_tag	CyHV3_ORF82
			db_xref	GeneID:11266412
150760	149379	gene		
			locus_tag	CyHV3_ORF80
			db_xref	GeneID:11266410
149384	149379	regulatory		
			gene	-
			note	ORF80, ORF82, ORF83
			regulatory_class	polyA_signal_sequence
150760	149708	CDS		
			product	protein Allo60
			protein_id	ref|YP_001096115.1|
150797	151755	gene		
			locus_tag	CyHV3_ORF81
			db_xref	GeneID:11266411
150797	151567	CDS		
			product	membrane protein ORF81
			prot_desc	type 3 membrane protein; 4 transmembrane domains
			protein_id	ref|YP_001096116.1|
151750	151755	regulatory		
			gene	-
			note	ORF79, ORF81
			regulatory_class	polyA_signal_sequence
152807	151836	CDS		
			product	membrane protein ORF82
			prot_desc	type 3 membrane protein; 4 transmembrane domains
			protein_id	ref|YP_001096117.1|
153480	152794	CDS		
			product	membrane protein ORF83
			prot_desc	type 3 membrane protein; 4 transmembrane domains
			protein_id	ref|YP_001096118.1|
157196	153522	gene		
			locus_tag	CyHV3_ORF85
			db_xref	GeneID:11266415
155916	153522	gene		
			locus_tag	CyHV3_ORF84
			db_xref	GeneID:11266414
153527	153522	regulatory		
			gene	-
			note	ORF84, ORF85
			regulatory_class	polyA_signal_sequence
155916	153583	CDS		
			product	protein ORF84
			protein_id	ref|YP_001096119.1|
157196	155913	CDS		
			product	protein ORF85
			protein_id	ref|YP_001096120.1|
161135	157087	gene		
			locus_tag	CyHV3_ORF87
			db_xref	GeneID:11266417
157840	157087	gene		
			locus_tag	CyHV3_ORF86
			db_xref	GeneID:11266416
157092	157087	regulatory		
			gene	-
			note	ORF86, ORF87
			regulatory_class	polyA_signal_sequence
157840	157148	CDS		
			product	protein ORF86
			protein_id	ref|YP_001096121.1|
161135	157650	CDS		
			product	protein ORF87
			protein_id	ref|YP_001096122.1|
161194	163966	gene		
			locus_tag	CyHV3_ORF88
			db_xref	GeneID:11266418
161194	163914	CDS		
			product	protein ORF88
			protein_id	ref|YP_001096123.1|
163961	163966	regulatory		
			regulatory_class	polyA_signal_sequence
164040	165532	gene		
			locus_tag	CyHV3_ORF89
			db_xref	GeneID:11266419
164040	165497	CDS		
			product	protein ORF89
			protein_id	ref|YP_001096124.1|
167955	165507	gene		
			locus_tag	CyHV3_ORF90
			db_xref	GeneID:11266420
165512	165507	regulatory		
			regulatory_class	polyA_signal_sequence
165527	165532	regulatory		
			regulatory_class	polyA_signal_sequence
167955	166840	CDS		
166764	165574			
			product	protein Allo37
			protein_id	ref|YP_001096125.1|
167979	173455	gene		
			locus_tag	CyHV3_ORF91
			db_xref	GeneID:11266421
167979	168665	CDS		
			product	protein ORF91
			protein_id	ref|YP_001096126.1|
168831	173455	gene		
			locus_tag	CyHV3_ORF92
			db_xref	GeneID:11266422
168831	172637	CDS		
			product	major capsid protein
			prot_desc	involved in capsid morphogenesis
			protein_id	ref|YP_001096127.1|
172697	173455	gene		
			locus_tag	CyHV3_ORF93
			db_xref	GeneID:11266423
172697	173359	CDS		
			product	protein ORF93
			protein_id	ref|YP_001096128.1|
174483	173385	gene		
			locus_tag	CyHV3_ORF94
			db_xref	GeneID:11266424
173390	173385	regulatory		
			regulatory_class	polyA_signal_sequence
174483	173386	CDS		
			product	truncated protein ORF94
			prot_desc	similar to trypsin-like serine proteases; contains a signal anchor
			protein_id	ref|YP_001096129.2|
			note	frameshifted
173450	173455	regulatory		
			gene	-
			note	ORF91, ORF92, ORF93
			regulatory_class	polyA_signal_sequence
180861	174296	gene		
			locus_tag	CyHV3_ORF97
			db_xref	GeneID:11266427
177545	174296	gene		
			locus_tag	CyHV3_ORF96
			db_xref	GeneID:11266426
175096	174296	gene		
			locus_tag	CyHV3_ORF95
			db_xref	GeneID:11266425
174301	174296	regulatory		
			note	ORF95, ORF96, ORF97
			regulatory_class	polyA_signal_sequence
175096	174446	CDS		
			product	protein ORF95
			protein_id	ref|YP_001096130.1|
177545	175089	CDS		
			product	protein ORF96
			protein_id	ref|YP_001096131.1|
180861	177739	CDS		
			product	protein ORF97
			protein_id	ref|YP_001096132.1|
180807	181840	gene		
			locus_tag	CyHV3_ORF98
			db_xref	GeneID:11266428
180807	181772	CDS		
			product	uracil-DNA glycosylase
			prot_desc	involved in DNA repair
			protein_id	ref|YP_001096133.1|
181835	181840	regulatory		
			regulatory_class	polyA_signal_sequence
181926	186592	gene		
			locus_tag	CyHV3_ORF99
			db_xref	GeneID:11266429
181926	186551	CDS		
			product	membrane protein Allo46
			prot_desc	type 1 membrane protein
			protein_id	ref|YP_001096134.1|
187743	186574	gene		
			locus_tag	CyHV3_ORF100
			db_xref	GeneID:11266430
186579	186574	regulatory		
			regulatory_class	polyA_signal_sequence
186587	186592	regulatory		
			regulatory_class	polyA_signal_sequence
187743	186598	CDS		
			product	protein ORF100
			protein_id	ref|YP_001096135.1|
188007	194915	gene		
			locus_tag	CyHV3_ORF101
			db_xref	GeneID:11266431
188007	190676	CDS		
			product	protein ORF101
			protein_id	ref|YP_001096136.1|
191588	189496	gene		
			locus_tag	CyHV3_ORF102
			db_xref	GeneID:11266432
189501	189496	regulatory		
			regulatory_class	polyA_signal_sequence
191588	189924	CDS		
			product	protein ORF102
			protein_id	ref|YP_001096137.1|
191317	194915	gene		
			locus_tag	CyHV3_ORF103
			db_xref	GeneID:11266433
191317	193491	CDS		
			product	protein ORF103
			protein_id	ref|YP_001096138.1|
192830	194915	gene		
			locus_tag	CyHV3_ORF104
			db_xref	GeneID:11266434
192830	194806	CDS		
			product	protein ORF104
			prot_desc	similar to protein kinases; possibly involved in protein phosphorylation
			protein_id	ref|YP_001096139.1|
194842	201102	gene		
			locus_tag	CyHV3_ORF105
			db_xref	GeneID:11266435
194910	194915	regulatory		
			gene	-
			note	ORF101, ORF103, ORF104
			regulatory_class	polyA_signal_sequence
195001	195633	CDS		
			product	protein ORF105
			protein_id	ref|YP_001096140.2|
			note	marginal CDS
195777	201102	gene		
			locus_tag	CyHV3_ORF106
			db_xref	GeneID:11266436
195777	196013	CDS		
			product	protein ORF106
			prot_desc	contains a potential transmembrane domain
			protein_id	ref|YP_001096141.1|
196156	201102	gene		
			locus_tag	CyHV3_ORF107
			db_xref	GeneID:11266437
196156	201024	CDS		
			product	protein Allo56
			protein_id	ref|YP_001096142.1|
201097	201102	regulatory		
			gene	-
			note	ORF105, ORF106, ORF107
			regulatory_class	polyA_signal_sequence
201231	201865	gene		
			locus_tag	CyHV3_ORF108
			db_xref	GeneID:11266438
201231	201818	CDS		
			product	protein ORF108
			prot_desc	contains a potential transmembrane domain
			protein_id	ref|YP_001096143.1|
202816	201825	gene		
			locus_tag	CyHV3_ORF109
			db_xref	GeneID:11266439
201830	201825	regulatory		
			regulatory_class	polyA_signal_sequence
201860	201865	regulatory		
			regulatory_class	polyA_signal_sequence
202816	201872	CDS		
			product	protein ORF109
			protein_id	ref|YP_001096144.1|
202777	207235	gene		
			locus_tag	CyHV3_ORF110
			db_xref	GeneID:11266440
202777	203493	CDS		
			product	protein ORF110
			protein_id	ref|YP_001096145.1|
203581	207235	gene		
			locus_tag	CyHV3_ORF111
			db_xref	GeneID:11266441
203581	205014	CDS		
			product	protein ORF111
			protein_id	ref|YP_001096146.1|
205019	207235	gene		
